name	type	units	description	sampling_frequency	signal_electrode	reference	group	target_muscle	interelectrode_distance	low_cutoff	high_cutoff	status
Ch228	EMG	mV	monopolar EMG	2048.0	E228	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch229	EMG	mV	monopolar EMG	2048.0	E229	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch230	EMG	mV	monopolar EMG	2048.0	E230	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch231	EMG	mV	monopolar EMG	2048.0	E231	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch232	EMG	mV	monopolar EMG	2048.0	E232	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch233	EMG	mV	monopolar EMG	2048.0	E233	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch234	EMG	mV	monopolar EMG	2048.0	E234	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch235	EMG	mV	monopolar EMG	2048.0	E235	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch236	EMG	mV	monopolar EMG	2048.0	E236	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch237	EMG	mV	monopolar EMG	2048.0	E237	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch238	EMG	mV	monopolar EMG	2048.0	E238	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch239	EMG	mV	monopolar EMG	2048.0	E239	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch240	EMG	mV	monopolar EMG	2048.0	E240	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch241	EMG	mV	monopolar EMG	2048.0	E241	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch242	EMG	mV	monopolar EMG	2048.0	E242	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch243	EMG	mV	monopolar EMG	2048.0	E243	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch244	EMG	mV	monopolar EMG	2048.0	E244	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch245	EMG	mV	monopolar EMG	2048.0	E245	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch246	EMG	mV	monopolar EMG	2048.0	E246	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch247	EMG	mV	monopolar EMG	2048.0	E247	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch248	EMG	mV	monopolar EMG	2048.0	E248	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch249	EMG	mV	monopolar EMG	2048.0	E249	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch250	EMG	mV	monopolar EMG	2048.0	E250	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch251	EMG	mV	monopolar EMG	2048.0	E251	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch252	EMG	mV	monopolar EMG	2048.0	E252	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch253	EMG	mV	monopolar EMG	2048.0	E253	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch254	EMG	mV	monopolar EMG	2048.0	E254	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch255	EMG	mV	monopolar EMG	2048.0	E255	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch256	EMG	mV	monopolar EMG	2048.0	E256	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch257	MISC	percent MVC	Requested Path	2048.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Ch258	MISC	percent MVC	Performed Path	2048.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
